#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
42,Alperen Sengun,HOU,40,31.4,19.3,7.7,15.7,49,0.3,1.5,22,3.6,5,72,3.4,7.1,10.4,5.1,1.4,0.9,2.5,25.1
43,Julius Randle,MIN,41,32.9,19.2,6.7,14,47.7,1.6,4.6,34.6,4.3,5.3,81.5,2,5,7.1,4.4,0.6,0.2,3,20.2
44,Evan Mobley,CLE,38,30.2,18.6,7.1,12.4,57.3,1.2,2.8,42.1,3.2,4.1,77.4,2.1,6.8,8.8,2.9,0.9,1.4,2,24.4
45,Austin Reaves,LAL,34,34.9,18.5,6.2,14.1,44.3,2.6,7.2,36.7,3.4,4.1,82.9,0.9,3.4,4.3,6.1,1.1,0.1,2.4,19.2
46,Coby White,CHI,39,32.8,18.5,6.3,14.4,43.8,3.1,8.4,36.5,2.8,3.2,88.8,0.4,3.1,3.4,4.8,1.1,0.2,2.4,17.1
47,Collin Sexton,UTA,39,28.9,18.3,6.6,13.7,48,1.9,4.6,41.6,3.3,3.6,90.1,0.9,1.9,2.8,4,0.7,0.1,2.5,16
48,Michael Porter Jr.,DEN,41,33.7,18.3,6.9,13.5,51.4,2.6,6.3,41.2,1.9,2.6,71,1.5,5,6.5,2.4,0.7,0.4,1.4,19.6
49,Anfernee Simons,POR,37,31.9,18.2,6.5,15.4,42,2.9,8.1,35.8,2.3,2.5,91.4,0.3,2.4,2.6,5,0.9,0.1,2.3,15.2
50,Shaedon Sharpe,POR,32,31.6,18.2,6.8,15,45.4,1.9,6.2,31.2,2.6,3.3,79.8,0.7,3,3.7,2.8,0.9,0.3,1.9,15.1
51,Tyrese Haliburton,IND,41,34.5,18.1,6.2,13.9,44.6,2.9,8,36,2.8,3.3,85.9,0.6,3,3.6,8.8,1.3,0.6,1.8,22.4
52,Mikal Bridges,NYK,43,39,17.9,7.3,15,48.9,2.4,6.9,35.1,0.8,1.1,71.4,0.9,2.2,3.2,3.2,1,0.5,1.5,16.3
53,Jaden Ivey,DET,30,29.9,17.6,6.3,13.8,46,2.1,5.1,40.9,2.8,3.9,73.3,1.3,2.8,4.1,4,0.9,0.4,3,15.6
54,Bradley Beal,PHX,29,33,17.5,6.8,14.1,48.5,2.1,5.4,38.5,1.8,2.3,75,0.7,2.9,3.6,3.3,1.1,0.7,1.9,16.4
55,Malik Monk,SAC,33,31.4,17.5,6.2,14.2,43.8,2.4,7.1,33.9,2.6,2.9,88.5,0.4,3.4,3.7,5.5,1,0.5,1.9,17.9
56,Desmond Bane,MEM,33,29.4,17.3,6.5,13.2,49,2.2,5.8,37,2.2,2.6,85.9,0.8,4.8,5.6,5.2,1.3,0.5,2.6,20.3
57,Andrew Wiggins,GSW,34,29.4,16.8,5.9,13,45.1,2.1,5.5,39,2.9,3.7,79.2,1.5,2.9,4.4,2.3,0.9,0.8,1.3,15.9
58,Jonathan Kuminga,GSW,32,26,16.8,6.1,13.2,45.9,1.3,3.6,34.5,3.4,5.3,63.9,1.4,3.6,5,2.2,0.9,0.6,1.6,14.8
59,Bennedict Mathurin,IND,41,32.8,16.5,5.8,12.5,46.3,1.5,4.2,36.4,3.4,4.1,81.7,1.2,4.8,6,2,0.6,0.4,2,16
60,Jalen Suggs,ORL,34,29,16.4,5.7,13.9,41,2.2,7,31.2,2.9,3.1,90.7,0.7,3.4,4.1,3.7,1.5,1,2.9,15.3
61,Keyonte George,UTA,30,31.3,16.3,5.5,13.9,39.8,2.8,7.9,35.6,2.5,3.1,78.7,0.5,2.9,3.4,5.6,0.8,0.2,3.1,14.2
62,Malik Beasley,DET,41,28.2,16.1,5.7,13.5,42,3.7,9.3,39.8,1.1,1.6,68.7,0.5,2.5,3,1.9,0.9,0,1.1,12.5
63,Gradey Dick,TOR,36,30.5,16.1,5.5,13.4,40.9,2.3,6.8,34.6,2.8,3.1,90.1,0.8,2.6,3.4,2.1,0.9,0.2,1.6,12.8
64,Derrick White,BOS,39,33.6,16.1,5.5,12.6,43.8,3.3,8.8,37.2,1.7,2.1,82.5,0.9,3.3,4.3,4.2,0.9,1.2,1.7,17.5
65,OG Anunoby,NYK,43,36.6,16,6.1,12.9,47.2,2,5.9,34.5,1.9,2.4,79.4,1.3,3.5,4.8,2,1.3,0.9,1.4,16.3
66,Bam Adebayo,MIA,39,34,15.9,6.1,13.4,45.6,0.7,2.5,28.3,3,4.1,72,2.3,7.3,9.7,4.6,1.5,0.8,2.1,21.9
67,Myles Turner,IND,39,31.3,15.4,5.6,11.3,49.1,2.1,5.1,40.4,2.2,3,73.5,1.4,5.6,6.9,1.5,0.8,2,2,18.1
68,Dennis Schröder,GSW,38,31.3,15.2,5.3,12.8,41.7,2.1,5.9,35,2.4,2.8,86.1,0.3,2.3,2.6,5.8,1,0.2,2.4,14.5
69,Fred VanVleet,HOU,37,35.6,15,5.2,13.5,38.8,2.5,7.6,32.9,2,2.5,81.3,0.7,3.4,4.1,6.1,1.7,0.5,1.5,17.1
69,Jerami Grant,POR,29,32.7,15,4.9,12.7,38.2,2.4,6.4,38.2,2.8,3.4,82,0.5,3.1,3.6,2.3,0.9,1,1.4,12.9
71,Ivica Zubac,LAC,40,31.8,14.9,6.7,10.8,61.7,0,0,0,1.6,2.9,54.8,3.7,8.8,12.5,2.6,0.7,1.2,1.8,24.6
72,Jakob Poeltl,TOR,37,31.8,14.8,6.5,10.6,61.1,0,0.1,0,1.9,2.9,63.9,3.7,6.9,10.6,2.6,1.2,1.2,2,23.2
73,Payton Pritchard,BOS,41,27.7,14.5,5,10.7,46.8,3.3,8,41.5,1.1,1.3,83,1.4,2.1,3.5,3.3,0.9,0.1,1,15.4
74,Josh Hart,NYK,42,37.8,14.2,5.3,9.5,55.6,1.3,3.5,36.3,2.3,2.8,81.4,2.2,7.4,9.5,5.5,1.5,0.4,2,24.4
75,Jarrett Allen,CLE,40,28.8,14.1,5.8,8.1,71,0,0,0,2.6,3.5,73.8,2.6,7.5,10.1,1.9,1,0.9,1,23.7
76,Deni Avdija,POR,38,28,14,4.7,10.3,45.8,1.5,4.2,35.6,3.1,3.9,78.4,1.3,5,6.3,3.3,1,0.6,2.4,16.3
77,Klay Thompson,DAL,37,27.5,13.7,4.9,12,41.1,3,7.8,37.9,0.9,1,91.9,0.6,2.8,3.4,2,0.9,0.4,1.4,12
78,Christian Braun,DEN,40,32.9,13.6,5.4,9.5,56.6,0.9,2.5,37,2,2.5,80.6,1.2,3.5,4.6,1.9,1.1,0.6,1,16.2
79,Bobby Portis,MIL,39,24.9,13.5,5.5,11.7,47,1.3,3.6,37.4,1.2,1.4,81.8,1.7,6.2,7.9,1.9,0.7,0.5,1.3,16.9
80,Deandre Ayton,POR,30,29.6,13.5,6.3,11.2,56.4,0.2,0.9,21.4,0.6,1,61.3,2.8,7.1,9.9,1.4,0.8,1,1.8,19.5
81,Kelly Oubre Jr.,PHI,36,33.3,13.4,5.1,11.3,45.4,1.2,4.3,27.5,2,2.7,74,1.6,4.2,5.8,1.6,1.5,0.5,1.3,14.7
82,Santi Aldama,MEM,36,25.3,13.3,5.2,10.3,50.7,1.8,4.6,39.2,1.1,1.6,73.2,1.6,5.5,7.1,2.8,0.9,0.5,1.1,17.9
83,Tobias Harris,DET,39,32.1,13.2,4.9,11.1,44.8,1.4,4.1,34.8,1.9,2.2,87.2,1,5.4,6.4,2.5,0.8,0.8,1.2,16.2
84,Naz Reid,MIN,41,25,13.2,4.9,10.2,47.4,2,5,39.5,1.5,2,77.8,0.9,4.3,5.2,1.7,0.7,0.8,1.2,14.6
85,Russell Westbrook,DEN,41,27.3,13.1,4.9,10.6,46,1.2,3.7,34,2.1,3.3,64.2,1.3,3.7,5,6.6,1.6,0.6,2.9,17
86,P.J. Washington,DAL,35,32.5,13.1,4.7,10.9,43.2,1.5,4.1,37.5,2.2,2.9,74.5,1.4,6.4,7.8,2.2,1.3,1,1.8,16.6
87,Dillon Brooks,HOU,37,31.9,13,4.7,11.6,40.5,2.3,6.1,37.2,1.3,1.5,86,1.3,2.6,3.9,1.6,0.8,0.2,1,11.4
88,Dyson Daniels,ATL,36,33.4,13,5.5,12.2,45,1.2,3.8,31.6,0.8,1.5,56.6,1.7,3.3,5,3.6,3.1,0.8,1.7,16.4
89,Amen Thompson,HOU,38,29.6,12.8,4.9,8.8,56,0.3,1.3,25,2.6,3.8,69.2,2.6,5.2,7.8,2.4,1.3,1.2,1.9,18.5
90,D'Angelo Russell,BKN,34,25.9,12.6,4.5,10.7,41.6,2,5.8,34.2,1.7,2,86.6,0.2,2.6,2.8,5.2,0.9,0.2,1.7,13.5
91,Buddy Hield,GSW,40,23.6,12.5,4.5,10.7,41.9,2.8,7.4,37.8,0.8,0.8,90.9,0.6,2.8,3.4,1.6,0.9,0.3,1.3,11
92,Keldon Johnson,SAS,37,24.5,12.4,4.6,10.1,46,1.1,3.8,29.1,2.1,2.7,77,1.3,3.8,5,1.5,0.7,0.2,0.9,12.9
93,Bilal Coulibaly,WAS,35,33.4,12.4,4.5,10.6,42.2,1.1,3.7,29,2.4,3.1,77.8,1.4,3.7,5.1,3.4,1.3,0.8,2.1,14.1
94,Ayo Dosunmu,CHI,32,30.5,12.3,4.8,9.8,49.2,1.3,4,31.8,1.4,1.7,80,0.6,3.3,3.9,4.7,0.8,0.4,1.3,15.7
95,Brook Lopez,MIL,40,31.8,12.3,4.7,9.5,48.8,1.9,5.1,36.8,1.1,1.4,76.8,1.1,3.7,4.8,1.7,0.8,1.9,1.1,15.2
96,Rui Hachimura,LAL,34,32.3,12.1,4.5,9.3,48.7,1.5,3.6,41.9,1.5,1.9,78.8,1.7,3.5,5.2,1.6,0.9,0.6,1,14.1
97,Keegan Murray,SAC,38,35.7,12.1,4.6,10.9,42.4,1.9,5.8,32.4,0.9,1.1,85.7,2.2,5.2,7.3,1.4,0.7,0.8,0.9,15
98,Scoot Henderson,POR,33,26.3,11.9,4.1,9.8,41.8,1.3,3.8,33.9,2.4,3.2,76.2,0.7,2.2,2.9,5,1.1,0.2,2.8,12
99,Jabari Smith Jr.,HOU,33,30.9,11.9,4.1,9.5,43.5,1.7,4.8,35.4,2,2.3,86.7,1.8,4.7,6.5,1,0.4,1,0.9,14.2
100,Terry Rozier,MIA,36,28.6,11.8,4.3,10.7,40.4,1.5,5.2,28.5,1.7,1.9,91,0.7,3.4,4.1,2.9,0.6,0.4,1.6,11.7
101,Alexandre Sarr,WAS,35,27.1,11.8,4.5,11,40.6,1.5,4.6,31.7,1.5,2.3,63.8,1.9,4.7,6.6,2.3,0.7,1.6,1.5,14.1
102,Jaylen Wells,MEM,42,26.1,11.8,4.2,9.5,44.1,2,5.1,38.8,1.5,1.8,81.8,1,2.3,3.3,1.6,0.6,0.1,1.1,10.8
103,Jrue Holiday,BOS,35,30.7,11.8,4.3,9.5,44.9,1.8,5.3,34.2,1.4,1.6,89.1,1.2,3.1,4.3,3.9,1,0.4,1.3,14.7
104,Daniel Gafford,DAL,40,20,11.7,4.7,6.7,70.5,0,0,0,2.2,3.3,66.7,2.3,3.7,6,1.2,0.4,1.5,1.2,16.5
105,Stephon Castle,SAS,39,25.1,11.6,4.2,10.4,40.1,1,3.8,25.3,2.3,3.3,70.9,0.7,1.8,2.5,3.6,0.8,0.3,1.8,9.9
106,Jonas Valančiūnas,WAS,39,19.7,11.6,4.8,8.6,56,0.1,0.6,21.7,1.9,2.1,90.2,2.4,5.7,8.1,2.2,0.5,0.7,1.9,17.2
107,Josh Giddey,CHI,38,27.9,11.5,4.4,10.1,43.4,1.2,3.7,32.1,1.5,2.1,74.4,1.5,5.8,7.4,6.7,1.1,0.5,2.7,18.2
108,Tyus Jones,PHX,39,30.1,11.5,4.3,9.1,47.3,2.1,4.9,42,0.8,0.9,86.1,0.6,1.9,2.5,6.1,0.9,0.1,1.3,14.9
109,Julian Champagnie,SAS,40,26.9,11.5,3.9,9.3,42.1,2.5,6.9,36.9,1.1,1.2,89.8,0.8,3.7,4.4,1.3,0.7,0.5,1,11.8
110,Corey Kispert,WAS,34,26.7,11.4,4.2,9.4,44.5,1.9,5.6,34.7,1.1,1.4,84.8,0.5,2.5,3,1.7,0.5,0.2,1.1,10.4
111,Tim Hardaway Jr.,DET,37,28.1,11.3,3.7,8.6,42.9,2.2,5.7,38.4,1.7,2.1,82.9,0.2,1.9,2.1,1.5,0.4,0,0.7,9.4
112,Onyeka Okongwu,ATL,33,23.8,11.2,4.5,8.2,54.6,0.4,1.5,23.5,1.9,2.5,75.9,2.7,4.7,7.4,1.8,0.7,0.8,0.8,16.8
113,Grayson Allen,PHX,31,24.1,11.2,3.6,7.9,45.3,2.5,5.8,42.8,1.6,1.9,84.5,0.5,2.6,3.2,1.8,1,0.3,1.1,11.7
114,Harrison Barnes,SAS,40,28.1,11.2,3.7,7.7,48.2,1.5,3.6,40.7,2.3,2.8,81.4,1.4,2.4,3.8,1.7,0.3,0.2,0.6,12
115,Naji Marshall,DAL,33,24.5,11.1,4.4,8.6,51.1,0.9,2.7,32.2,1.4,1.6,88.5,0.9,2.7,3.6,2.5,1,0.1,1.4,12.4
116,Caris LeVert,CLE,34,24.1,11.1,3.8,8,48,1.7,4,43,1.7,2.4,69.9,0.6,2.3,2.9,3.8,0.9,0.6,1.4,13
117,Donte DiVincenzo,MIN,40,26.4,11,3.7,9.3,39.7,2.6,7,36.9,1,1.3,82,0.6,3.1,3.7,3.6,1.2,0.2,1.8,12
118,Walker Kessler,UTA,32,29.6,10.8,4.7,6.5,72,0.1,0.1,66.7,1.5,2.7,54.7,4.3,7,11.3,1.5,0.5,2.5,1.4,22.2
119,Brandon Boston,NOP,39,23.8,10.6,3.9,9,43.6,1.2,3.3,34.6,1.6,2,81,0.7,2.5,3.2,2.3,1.2,0.2,1.2,10.9
119,Ochai Agbaji,TOR,39,28.9,10.6,4.3,8.4,50.8,1.6,3.9,40.3,0.5,0.7,67.9,0.9,2.8,3.8,1.7,0.8,0.5,0.8,12.3
121,Zaccharie Risacher,ATL,39,23.7,10.5,3.9,9.8,40.3,1.2,4.1,28.1,1.5,2.1,71.3,1.3,2.2,3.5,1.2,0.8,0.5,1.2,8.8
122,Duncan Robinson,MIA,38,23.1,10.4,3.7,9,41.3,2.4,6.4,37,0.7,0.7,89.3,0.3,2,2.3,2.7,0.5,0.1,1,9.7
123,Amir Coffey,LAC,39,25.2,10.4,3.6,7.6,47.3,1.7,3.8,43.3,1.5,1.7,88.2,0.5,2.1,2.6,1.2,0.6,0.1,0.7,9.9
124,Chris Boucher,TOR,37,17.5,10.4,3.8,7.6,49.5,1.4,3.8,35.9,1.5,1.9,78.6,1.4,3.1,4.5,0.6,0.6,0.6,0.6,11.8
125,Quentin Grimes,DAL,40,22.6,10.2,3.6,7.8,46.5,1.7,4.3,39.5,1.3,1.8,75.7,0.7,3.3,4,2.1,0.7,0.2,1.2,11.5
126,Luguentz Dort,OKC,40,29.3,10.2,3.5,8.4,42.2,2.4,5.6,42.7,0.8,0.9,81.1,1.4,3,4.3,1.7,1.1,0.7,0.7,12.3
127,Obi Toppin,IND,39,19.5,10.2,3.9,7.2,54.3,1.2,3.4,35.1,1.2,1.4,80.4,0.7,3.3,4,1.6,0.8,0.4,0.7,12.7
128,T.J. McConnell,IND,41,19.2,10.2,4.6,8.7,53,0.2,0.6,28,0.8,1.1,73.9,0.6,2,2.6,4.5,1.1,0.3,1.5,12.8
129,Ty Jerome,CLE,37,17.5,10.1,3.7,7.3,50.4,1.3,3.2,41.9,1.5,1.6,90,0.7,1.5,2.2,3.4,1.2,0,1.1,12.1
130,Brice Sensabaugh,UTA,31,18.3,10.1,3.6,7.7,47.5,1.9,4.6,40.8,1,1,93.8,0.6,2.1,2.7,1.4,0.5,0.1,1.5,9.3
131,Scotty Pippen Jr.,MEM,42,21.9,10.1,3.8,8,47.3,1.1,3,37.6,1.4,2.1,67.4,0.7,2.6,3.4,4.7,1.2,0.4,1.9,12.9
132,Royce O'Neale,PHX,34,25.8,10.1,3.6,8.1,44.4,2.4,5.7,43,0.5,0.6,77.3,0.9,4.5,5.4,2.3,1,0.6,1.1,13.6
133,Guerschon Yabusele,PHI,39,25.8,10.1,3.6,7.2,50.7,1.5,3.8,39.6,1.3,1.9,68.5,1.9,3.5,5.4,1.9,0.7,0.4,1.3,13.1
134,Rudy Gobert,MIN,41,33.3,10,4,6.1,64.3,0,0,0,2.1,3.3,65.7,3.4,7,10.4,1.7,0.6,1.5,1.4,19.5
135,Nikola Jović,MIA,31,22.9,10,3.4,7.6,44.3,1.4,4,35.8,1.8,2.2,83.8,0.6,3.3,3.9,2.5,0.8,0.3,1,11.9
136,Spencer Dinwiddie,DAL,40,24.4,10,3,7.8,38.9,1.4,4,33.8,2.6,3.1,86.1,0.3,2.2,2.4,3.7,0.9,0.2,1.1,11
137,Jaden McDaniels,MIN,41,30.2,10,4,8.9,44.6,1.3,3.8,33.3,0.8,1.1,75.6,1.5,3.4,4.9,1.6,1.4,0.8,1,12.4
138,Derrick Jones Jr.,LAC,38,23.9,9.8,3.9,7.6,51,0.9,2.7,35,1.1,1.3,80,1.1,2.1,3.2,0.8,1.2,0.3,0.9,10.4
139,Jalen Duren,DET,38,25,9.7,4,5.8,69.9,0,0,0,1.7,2.6,63,3.2,6.3,9.6,2.3,0.6,1.2,1.8,18.8
140,Ziaire Williams,BKN,30,22.7,9.7,3.3,7.9,41.5,1.3,3.8,33,1.9,2.3,81.2,1,3.6,4.7,1.4,1,0.4,1.1,11
141,Nic Claxton,BKN,35,26.2,9.7,4.2,7.7,54.1,0,0.3,8.3,1.3,2.5,52.3,1.9,5.6,7.5,2.1,0.9,1.2,1.1,15.5
142,Gary Trent Jr.,MIL,35,24.5,9.6,3.3,7.6,43.8,2.1,4.9,42.4,0.8,0.9,90.6,0.2,2.1,2.3,0.9,1.1,0,0.6,8.9
143,Toumani Camara,POR,39,31.3,9.6,3.5,8.5,41.8,1.5,4.4,33.9,1,1.3,76.9,2.2,3.2,5.4,2,1.4,0.5,1.4,12.3
144,Goga Bitadze,ORL,36,24.6,9.6,4.1,6.6,61.9,0.1,0.5,10.5,1.4,2.1,68,2.8,5.4,8.2,2.4,0.9,1.6,1.4,18.1
145,Chris Paul,SAS,40,29.2,9.6,3.2,7.7,41.8,1.7,4.8,36.1,1.5,1.5,96.7,0.5,3.7,4.2,8.2,1.4,0.2,1.7,17.4
146,Kevin Porter Jr.,LAC,35,19.5,9.6,3.9,9.2,42.1,0.6,2.5,24.4,1.3,2,63.8,0.6,2.8,3.4,3.3,0.9,0.3,2.1,9.4
147,Jaime Jaquez Jr.,MIA,36,23.7,9.6,3.5,7.9,43.9,0.7,2.2,30.8,1.9,2.7,72.9,1.2,3.5,4.7,2.8,1.3,0.1,1.6,11.6
148,Aaron Wiggins,OKC,41,20.8,9.5,3.7,7.6,49,1.4,3.5,39.9,0.7,0.8,84.8,1,2.5,3.5,1.5,0.8,0.3,0.9,10.7
149,Noah Clowney,BKN,32,22.4,9.5,3.1,7.9,38.9,2,5.4,36.4,1.4,1.6,86.5,0.9,3,3.9,0.9,0.4,0.4,1,9.1
150,Clint Capela,ATL,40,22.8,9.5,4.3,7.4,57.2,0,0,0,1,1.8,52.1,3.2,5.8,9,1.3,0.6,1,0.9,16.3
151,Julian Strawther,DEN,41,21.9,9.4,3.3,7.4,44.6,1.5,4,37.6,1.2,1.5,85,0.3,1.9,2.1,1.4,0.6,0.3,0.8,8.7
152,Miles McBride,NYK,33,23.8,9.3,3.3,7.7,42.4,1.8,4.6,38.8,0.9,1.2,81.6,0.8,1.7,2.5,2.9,0.8,0.2,0.8,10.2
153,Jalen Wilson,BKN,41,26.9,9.3,3.2,8,39.6,1.4,4.4,32.2,1.5,1.7,87.3,1,2.3,3.3,1.7,0.5,0,1.1,8.7
154,Dalton Knecht,LAL,39,21.4,9.3,3.4,7.5,44.9,1.5,4.5,33.3,1,1.3,80,0.6,2.6,3.2,1,0.4,0.1,0.5,9
155,Patrick Williams,CHI,32,26.7,9.3,3.2,8.5,37.7,1.7,4.7,36.2,1.1,1.3,83.7,0.7,3.2,3.8,2.2,0.8,0.7,1.4,9.9
156,Dereck Lively II,DAL,32,24,9.1,3.9,5.5,70.1,0,0,0,1.4,2.2,63.8,3.1,4.8,7.8,2.6,0.5,1.7,1.2,18.2
157,Dalano Banton,POR,31,16,9.1,3.2,7.8,41.2,1.2,3.3,36.9,1.4,2.1,68.8,0.4,1.7,2.1,2.4,0.8,0.5,1.5,8.1
158,Yves Missi,NOP,41,27.1,9.1,3.6,6.4,56.1,0,0,0,1.9,2.9,66.1,3.6,4.5,8.2,1.4,0.6,1.4,1.2,15.7
159,Caleb Martin,PHI,31,30.4,9.1,3.3,7.5,43.5,1.1,2.8,37.9,1.5,2.4,62.2,1.4,3,4.4,2.2,1.1,0.6,1.4,10.9
160,Kentavious Caldwell-Pope,ORL,41,30.2,9,3.1,7.6,41.6,1.5,4.9,31.7,1.2,1.3,92.3,0.3,1.7,2,2,1.6,0.6,0.9,9.7
161,Anthony Black,ORL,39,24.2,8.9,3.1,7.6,40.7,0.6,2.4,23.9,2.2,3,74.1,0.5,2.1,2.7,3.5,0.9,0.6,2.1,9.3
162,Garrison Mathews,ATL,31,19.1,8.9,2.6,6.1,42.1,2.1,5.1,41.5,1.6,1.9,83.1,0.4,1.4,1.7,1.5,0.6,0.3,0.7,8.5
163,Carlton Carrington,WAS,39,30.1,8.8,3.3,8.3,40,1.5,4.6,33.7,0.6,0.8,80.6,0.3,3.9,4.3,4,0.7,0.2,1.6,11.4
