#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
199,Sam Merrill,CLE,33,18.3,6.7,2.2,5.8,37.8,1.8,5.1,34.3,0.5,0.5,94.4,0.4,1.4,1.8,1.7,0.5,0.2,0.5,6.8
200,Simone Fontecchio,DET,36,18.3,6.7,2.2,5.4,41,1.2,3.3,35.8,1.1,1.3,82.6,0.7,2.3,3,0.9,0.3,0.2,0.9,6.7
201,Jarace Walker,IND,42,17.4,6.6,2.4,5,47.4,1,2.5,40.2,0.8,1.3,64.2,0.4,3,3.5,1.4,1,0.4,1.1,8.6
202,Terance Mann,LAC,28,19.8,6.5,2.5,5.4,46.7,0.8,2,40.4,0.6,0.9,69.2,0.9,2,2.9,1.6,0.9,0.2,0.6,8.3
203,Shake Milton,LAL,33,16.7,6.4,2.3,5.2,45,0.9,2.5,36.6,0.8,1.1,75.7,0.5,1.3,1.8,2.1,0.5,0.1,0.7,7.1
204,Ajay Mitchell,OKC,34,16.5,6.4,2.5,4.9,50.6,0.6,1.5,43.1,0.8,1,84.8,0.5,1.5,2,1.7,0.7,0.1,0.8,7.5
205,Ronald Holland II,DET,41,15.7,6.4,2.5,5.3,47.7,0.4,2,22.2,0.9,1.1,80.9,0.5,2.3,2.8,0.8,0.5,0.1,0.9,6.7
206,Kris Dunn,LAC,40,23.1,6.3,2.6,6.1,42.4,1,3.2,31,0.2,0.3,50,0.7,2.7,3.4,2.8,1.6,0.3,1.2,9.4
207,Jonathan Isaac,ORL,37,17.1,6.3,2.3,5.5,42.1,0.6,2.6,24.7,1,1.6,64.4,1.8,3.1,4.8,0.5,0.8,1.3,0.5,9.4
208,Ben Simmons,BKN,30,25.3,6.3,2.9,5.2,55.5,0,0,0,0.5,0.8,69.6,0.9,4.4,5.3,7.1,0.8,0.5,2.8,14.7
209,Talen Horton-Tucker,CHI,34,12.1,6.2,2.3,4.7,47.8,0.9,2.1,40.3,0.8,1.2,67.5,0.4,1.5,1.9,1.4,0.4,0.2,0.6,6.6
210,Javonte Green,NOP,38,21.7,6.2,2.2,4.7,46.9,0.8,2.1,38.5,1,1.3,77.6,1,2.4,3.4,0.8,1,0.7,0.6,8.8
211,Lindy Waters III,GSW,32,18.7,6.2,2.3,5.8,38.5,1.4,4.2,33.8,0.3,0.3,72.7,0.5,2.3,2.8,1.2,0.6,0.3,0.5,6.8
212,Jeremiah Robinson-Earl,NOP,36,18.6,6.1,2.4,5.2,45.2,0.7,2.3,31,0.7,0.8,86.2,1.9,3,4.9,1.3,0.7,0.1,0.7,9.6
213,Davion Mitchell,TOR,37,24.5,6.1,2.3,5.5,41.7,0.9,2.7,33.3,0.6,0.9,65.7,0.4,1.6,2,4.5,0.7,0.2,1.7,8.3
214,Eric Gordon,PHI,28,17.7,6.1,2,4.8,41.5,1.2,3.2,37.1,0.9,1.2,78.8,0.2,1,1.1,1.1,0.6,0.3,0.7,5.5
215,Kyle Filipowski,UTA,30,17.7,6,2.3,4.6,49.6,0.6,1.9,31,0.9,1.4,60.5,0.9,3.6,4.5,1.8,0.6,0.1,1,9.1
216,Dean Wade,CLE,31,22.7,6,2,4.9,41.4,1.5,4.2,36.2,0.4,0.8,50,0.9,4.2,5.1,1.4,0.8,0.5,0.4,10.2
217,Marcus Sasser,DET,30,13.8,5.8,2.3,4.8,47.6,1,2.5,39.5,0.3,0.3,100,0.4,0.7,1.1,2,0.7,0.1,0.9,6.4
218,Kenrich Williams,OKC,31,13.8,5.8,2.2,4.5,49.6,0.9,2.3,38.6,0.5,0.5,93.3,0.8,2.3,3,1,0.6,0.2,0.5,7.7
219,Isaac Okoro,CLE,28,19.7,5.8,2,4.7,42.7,1.1,2.8,39.7,0.6,0.9,72,0.8,1.3,2.1,1.6,0.7,0.4,0.4,7.2
220,Isaiah Stewart,DET,37,21.1,5.7,2.3,4.5,51.5,0.2,0.9,24.2,0.9,1,88.9,2.2,3.8,6,1.8,0.5,1.3,0.9,12.2
221,Ricky Council IV,PHI,32,13.2,5.7,1.9,4.5,42,0.4,1.8,24.1,1.5,1.8,84.2,0.6,1.5,2.1,0.8,0.2,0.2,0.5,5.6
222,Donovan Clingan,POR,31,16.7,5.6,2.3,4.3,53.7,0.2,0.6,30,0.8,1.1,73.5,2.7,3.7,6.5,0.6,0.5,1.5,1.2,11.3
223,Jamison Battle,TOR,33,12.9,5.6,2,4.3,45.8,1.3,3.2,41.5,0.4,0.4,85.7,0.6,1.3,1.9,0.9,0.1,0.1,0.4,5.9
224,Drew Eubanks,UTA,31,15,5.5,2.3,3.7,61.4,0.1,0.2,60,0.9,1.5,64.4,1,3.5,4.6,1.3,0.3,0.8,0.9,9.6
225,Jamal Shead,TOR,38,16,5.4,2.1,4.9,43,0.8,2.2,36.6,0.4,0.6,68.2,0.3,0.8,1.1,3.4,0.6,0.1,1.4,6.1
226,Seth Curry,CHA,32,13.5,5.4,2,4.2,48.1,0.9,2.1,42.6,0.4,0.5,86.7,0.4,1,1.4,0.5,0.4,0.2,0.3,5.3
227,Kyle Anderson,GSW,33,15.2,5.4,2.1,4.8,44.3,0.6,1.5,37.3,0.5,0.8,66.7,0.8,2.4,3.1,2.3,0.8,0.5,0.5,8.7
228,Monté Morris,PHX,33,13.7,5.3,1.8,4.4,42.1,0.6,1.9,30.6,1,1.2,85,0.3,1.3,1.6,1.8,0.4,0.1,0.5,6
229,Neemias Queta,BOS,33,14.8,5.3,2.3,3.4,67,0,0.1,0,0.7,1,70.6,1.5,2.5,4,0.6,0.3,0.8,0.6,8.9
230,Kevon Looney,GSW,34,15.9,5.1,2.3,4.2,54.5,0,0,0,0.6,1.3,42.2,3,3.8,6.8,1.8,0.8,0.3,0.6,11.5
231,Zach Collins,SAS,31,12.8,5.1,1.8,4.1,44.9,0.4,1.5,28.9,1,1.1,88.6,1.1,1.9,3,1.5,0.4,0.4,0.7,7.4
232,Jonathan Mogbo,TOR,36,16.4,5.1,1.9,4.2,46.4,0.2,0.7,32,1,1.3,72.9,1.8,2.4,4.1,1.6,0.7,0.4,0.9,8.5
233,Matas Buzelis,CHI,40,12.7,4.9,1.8,4.6,38.3,0.8,2.3,32.6,0.6,0.8,80,0.6,2,2.6,0.5,0.3,0.8,0.5,5.5
234,Gary Payton II,GSW,29,13.3,4.7,2.1,3.8,56,0.2,1.1,15.6,0.3,0.6,58.8,1.1,1.8,2.9,1.2,0.7,0.3,0.5,7.4
235,Charles Bassey,SAS,28,10.7,4.7,2,3.5,58.8,0,0,0,0.6,1,62.1,1.6,2.8,4.4,0.4,0.4,1,0.7,8.4
236,Gabe Vincent,LAL,35,19.5,4.7,1.8,4.6,39.1,0.9,3,31.7,0.1,0.3,50,0.3,1,1.3,1.1,0.8,0.2,0.7,4.5
237,Tidjane Salaün,CHA,34,18.4,4.7,1.6,5,31.8,0.9,3.1,28,0.6,0.9,67.7,1,3.1,4.1,1.1,0.6,0.2,0.9,6.1
238,Jett Howard,ORL,37,11.2,4.6,1.6,4.3,38.1,0.9,3.1,30.7,0.4,0.4,87.5,0.4,0.9,1.3,0.6,0.1,0.2,0.5,3.6
239,Daniel Theis,NOP,33,15.9,4.6,1.7,3.5,49.1,0.3,1,26.5,0.9,1.1,82.9,1.1,3.2,4.3,1.4,0.5,0.5,0.6,8.8
240,Julian Phillips,CHI,41,13.7,4.6,1.6,3.8,43.5,0.6,2,31,0.7,0.9,71.1,0.9,1.1,2,0.4,0.5,0.2,0.4,4.9
241,Luke Kornet,BOS,35,16.1,4.5,1.8,2.9,62.4,0,0,0,0.9,1.3,71.7,2.1,2.9,5,1.4,0.4,0.9,0.4,10.5
242,Kris Murray,POR,34,14.4,4.5,1.9,4,47.1,0.4,1.6,28.3,0.3,0.7,40,1.1,1.2,2.4,1,0.4,0.2,0.6,5.2
243,Isaiah Collier,UTA,32,20.4,4.4,1.8,4.9,35.4,0.4,1.9,19.7,0.6,1,58.1,0.3,2.4,2.8,4.6,0.7,0.2,2.4,6.7
244,Oso Ighodaro,PHX,33,16.9,4.1,1.8,3.1,56.9,0,0.1,0,0.5,0.9,58.1,1,2.8,3.8,1,0.5,0.4,0.6,7.4
245,Mason Plumlee,PHX,39,17.9,4.1,1.5,2.7,57.1,0,0,0,1,1.6,61.3,1.7,4.8,6.5,1.9,0.4,0.7,0.9,11
246,Aaron Holiday,HOU,29,10.5,3.8,1.3,3,42,0.8,2,38.6,0.5,0.6,88.2,0.2,0.8,1,1.1,0.3,0.1,0.4,4.1
247,Dalen Terry,CHI,39,12.8,3.6,1.3,2.9,45.1,0.4,1.1,35.7,0.6,0.9,69.4,0.5,0.9,1.4,1.1,0.5,0.2,0.8,4.1
248,DeAndre Jordan,DEN,29,11.9,3.5,1.6,2.4,65.7,0,0,0,0.3,0.9,37,1.2,3.2,4.4,0.9,0.3,0.5,0.7,7.6
249,Andre Jackson Jr.,MIL,38,17.3,3.5,1.4,3.3,42.7,0.5,1.5,35.7,0.2,0.3,53.8,1.1,2,3.1,1.4,0.6,0.3,1.1,5.8
250,Moussa Diabaté,CHA,31,17.8,3.4,1.5,2.5,60.3,0,0,0,0.4,0.8,44,3,3.7,6.7,0.6,0.6,0.7,0.9,9.7
251,Cam Reddish,LAL,29,18.6,3.4,1.2,2.9,42.4,0.4,1.6,28.9,0.4,0.7,61.9,0.5,1.6,2.1,0.8,1,0.3,0.4,5.2
252,Nicolas Batum,LAC,40,17.8,3.3,1.1,2.8,38.1,0.9,2.3,37,0.3,0.3,76.9,0.7,2.2,2.8,1.4,0.6,0.4,0.5,6.2
253,Reed Sheppard,HOU,31,11.5,3.2,1.2,3.9,31.4,0.6,2.3,27.1,0.2,0.2,83.3,0.3,0.9,1.3,1.2,0.5,0.3,0.6,3.2
254,Jabari Walker,POR,28,10,3.2,1.3,2.9,43.9,0.2,0.9,19.2,0.5,0.6,72.2,0.8,2,2.8,0.5,0.4,0.1,0.5,4.7
255,Maxi Kleber,DAL,30,19.2,3,1.1,2.7,40,0.4,1.3,27.5,0.5,0.6,82.4,0.8,2.1,2.9,1.2,0.3,0.5,0.7,5.4
256,Rayan Rupert,POR,29,9,2.9,1.1,2.6,41.9,0.3,1.1,30.3,0.4,0.6,75,0.7,0.6,1.3,0.5,0.3,0.1,0.5,2.9
257,Olivier-Maxence Prosper,DAL,31,7.3,2.5,0.9,2.2,39.1,0.2,0.7,27.3,0.6,1,58.1,0.7,1.2,1.9,0.5,0.3,0.1,0.2,3.4
258,Hunter Tyson,DEN,30,7.8,2.2,0.7,1.7,42,0.3,1,34.5,0.5,0.6,82.4,0.3,1.1,1.5,0.4,0.1,0.1,0.3,3
259,Anthony Gill,WAS,28,6.3,2.1,0.7,1.4,47.5,0.2,0.5,35.7,0.5,0.9,62.5,0.2,0.8,1,0.3,0.2,0,0.2,2.3
260,Jericho Sims,NYK,34,12.1,1.8,0.8,1.3,60,0,0,0,0.2,0.4,61.5,1.4,2.3,3.7,0.6,0.2,0.3,0.6,5.4
261,Alex Len,SAC,30,7.3,1.6,0.7,1.3,53.8,0,0.1,0,0.2,0.4,54.5,0.7,1.2,1.9,0.9,0.2,0.6,0.3,4.1
262,Dwight Powell,DAL,33,7.6,1.5,0.4,0.5,77.8,0,0,100,0.6,0.9,66.7,0.7,1.1,1.8,0.7,0.4,0.5,0.2,4.2
